lhs,rhs,support,confidence,coverage,lift,count
{Organic Whole String Cheese},{Bag of Organic Bananas},0.00447377847556189,0.294530858003011,0.0151895068173677,2.49645344623495,587
{Blueberries},{Banana},0.00545694274020837,0.308222126560482,0.0177045781920448,2.15964525279688,716
{Apple Honeycrisp Organic},{Bag of Organic Bananas},0.00523592131637311,0.3050621669627,0.0171634567750688,2.58571717474218,687
{Cucumber Kirby},{Banana},0.0056627213072274,0.307915457936179,0.0183905067487749,2.15749649259576,743
{100% Whole Wheat Bread},{Banana},0.00478625704029449,0.273281114012185,0.0175140424818419,1.91482119451163,628
{Organic Granny Smith Apple},{Bag of Organic Bananas},0.00495392846527296,0.278134360290971,0.0178112781897583,2.35747618084096,650
{Organic Peeled Whole Baby Carrots},{Banana},0.00492344275164051,0.26260162601626,0.0187487138839561,1.83999235009973,646
{Organic Red Bell Pepper},{Bag of Organic Bananas},0.0047938784687026,0.262849979105725,0.0182380781806126,2.22792525248599,629
{Organic Tomato Cluster},{Bag of Organic Bananas},0.00483960703915128,0.250197005516154,0.0193431852997889,2.1206782233055,635
{Organic Gala Apples},{Bag of Organic Bananas},0.00617335701057092,0.288358846564614,0.0214085923983873,2.44413926995455,810
{Organic Large Extra Fancy Fuji Apple},{Bag of Organic Bananas},0.00741564984109322,0.336561743341404,0.0220335495278525,2.85270864225338,973
{Broccoli Crown},{Banana},0.00704982127750383,0.315484311050477,0.0223460280925851,2.21052979646599,925
{Red Peppers},{Banana},0.00638675700599806,0.288468158347676,0.0221402495255661,2.0212335036121,838
{Small Hass Avocado},{Banana},0.00659253557301709,0.278762487914921,0.0236492923503723,1.95322798658704,865
{Organic Fuji Apple},{Banana},0.00922192837381582,0.371507522259748,0.0248229923252216,2.60307222515109,1210
{Honeycrisp Apple},{Banana},0.00938197837038618,0.346662911855815,0.0270636922772066,2.42899145582023,1231
{Organic Lemon},{Bag of Organic Bananas},0.00813206411145577,0.304422253922967,0.0267131065704334,2.58029325032162,1067
{Yellow Onions},{Banana},0.00816254982508822,0.284688995215311,0.0286718136713183,1.9947537313471,1071
{Organic Cilantro},{Limes},0.00767477840696903,0.285592739648327,0.0268731565670038,6.21122787610099,1007
{Seedless Red Grapes},{Banana},0.00885609981022643,0.286277408228628,0.0309353779085276,2.0058833950801,1162
{Organic Blueberries},{Organic Strawberries},0.00967159264989444,0.255537656061216,0.0378480134746854,3.07773456160603,1269
{Organic Cucumber},{Bag of Organic Bananas},0.00966397122148633,0.274875352265337,0.0351576492466218,2.32985271933996,1268
{Strawberries},{Banana},0.0148465425390027,0.299969202340622,0.0494935560822809,2.10181881180768,1948
{Organic Raspberries},{Organic Strawberries},0.0127277854415475,0.301117922827263,0.0422684419513905,3.62671025667728,1670
{Organic Raspberries},{Bag of Organic Bananas},0.0135661425664398,0.320952037504508,0.0422684419513905,2.7204002512228,1780
{Limes},{Large Lemon},0.012156178310939,0.264379247472236,0.0459800775861412,4.26415939540069,1595
{Organic Avocado},{Banana},0.0168890853523767,0.299095694425698,0.0564671630757036,2.09569833226004,2216
{Organic Hass Avocado},{Bag of Organic Bananas},0.0184438567476316,0.331825037707391,0.0555830773803626,2.81256016618534,2420
{Large Lemon},{Banana},0.0164470425047062,0.265273509526736,0.0620003200999931,1.85871365542527,2158
{Organic Strawberries},{Bag of Organic Bananas},0.0234282709265371,0.282173673581788,0.0830278410779748,2.39171353598145,3074
{Organic Cucumber,Organic Strawberries},{Bag of Organic Bananas},0.00323148564503959,0.410852713178295,0.00786531411717184,3.48240139815316,424
{Bag of Organic Bananas,Organic Cucumber},{Organic Strawberries},0.00323148564503959,0.334384858044164,0.00966397122148633,4.02738230577535,424
{Organic Hass Avocado,Organic Raspberries},{Bag of Organic Bananas},0.0040469784847076,0.521099116781158,0.00776623554786638,4.41685361845859,531
{Bag of Organic Bananas,Organic Raspberries},{Organic Hass Avocado},0.0040469784847076,0.298314606741573,0.0135661425664398,5.36700414588716,531
{Organic Raspberries,Organic Strawberries},{Bag of Organic Bananas},0.00494630703686485,0.388622754491018,0.0127277854415475,3.293979521577,649
{Bag of Organic Bananas,Organic Raspberries},{Organic Strawberries},0.00494630703686485,0.364606741573034,0.0135661425664398,4.39137928722748,649
{Large Lemon,Limes},{Banana},0.00344488564046674,0.283385579937304,0.012156178310939,1.98562098461998,452
{Banana,Limes},{Large Lemon},0.00344488564046674,0.339594290007513,0.0101441212111974,5.47729897942173,452
{Large Lemon,Organic Avocado},{Banana},0.00363542135066954,0.353595255744996,0.0102813069225434,2.47756487829997,477
{Organic Avocado,Organic Baby Spinach},{Banana},0.00368877134952633,0.345221112696148,0.0106852426281734,2.41888908340003,484
{Organic Baby Spinach,Organic Hass Avocado},{Bag of Organic Bananas},0.00378784991883179,0.396964856230032,0.00954202836695653,3.36468745614252,497
{Organic Hass Avocado,Organic Strawberries},{Bag of Organic Bananas},0.0054112141697597,0.46133853151397,0.0117293783200848,3.91032089027238,710
{Bag of Organic Bananas,Organic Hass Avocado},{Organic Strawberries},0.0054112141697597,0.293388429752066,0.0184438567476316,3.53361506144105,710
{Organic Baby Spinach,Organic Strawberries},{Bag of Organic Bananas},0.00447377847556189,0.358145210494204,0.012491521160896,3.03565083486654,587
{Bag of Organic Bananas,Organic Baby Spinach},{Organic Strawberries},0.00447377847556189,0.262522361359571,0.017041513920539,3.16185941909564,587
